Population,pop_label,Individual,indv_label,sample,order,Color,pch,cex
JPT,NA,NA18974,NA18974,0,970,#8dffd7,j,0.8
JPT,NA,NA18975,NA18975,0,980,#8affda,3,0.8
JPT,NA,NA18976,NA18976,0,990,#87ffdd,b,0.8
JPT,NA,NA18978,NA18978,0,1000,#83ffe1,G,0.8
JPT,NA,NA18980,NA18980,0,1010,#80ffe4,p,0.8
JPT,NA,NA18981,NA18981,0,1020,#7dffe7,t,0.8
JPT,NA,NA18987,NA18987,0,1030,#7affea,q,0.8
JPT,NA,NA18990,NA18990,0,1040,#77ffed,B,0.8
JPT,NA,NA18991,NA18991,0,1050,#74fff0,U,0.8
JPT,NA,NA18992,NA18992,0,1060,#71fff3,I,0.8
JPT,NA,NA18994,NA18994,0,1070,#6efff6,d,0.8
JPT,NA,NA18995,NA18995,0,1080,#6bfff9,c,0.8
JPT,NA,NA18997,NA18997,0,1090,#68fffc,C,0.8
JPT,NA,NA18998,NA18998,0,1100,#66ff67,U,0.8
JPT,NA,NA18999,NA18999,0,1110,#66ff6a,o,0.8
JPT,NA,NA19000,NA19000,0,1120,#66ff6d,u,0.8
JPT,NA,NA19003,NA19003,0,1130,#66ff70,X,0.8
JPT,NA,NA19005,NA19005,0,1140,#66ff73,D,0.8
JPT,NA,NA19007,NA19007,0,1150,#66ff76,I,0.8
CHB,NA,NA18524,NA18524,0,1160,#66ff79,M,0.8
CHB,NA,NA18526,NA18526,0,1170,#66ff7c,D,0.8
CHB,NA,NA18529,NA18529,0,1180,#66ff7f,l,0.8
CHB,NA,NA18532,NA18532,0,1190,#66ff82,P,0.8
CHB,NA,NA18537,NA18537,0,1200,#66ff86,w,0.8
CHB,NA,NA18540,NA18540,0,1210,#66ff89,a,0.8
CHB,NA,NA18542,NA18542,0,1220,#66ff8c,N,0.8
CHB,NA,NA18545,NA18545,0,1230,#66ff8f,y,0.8
CHB,NA,NA18547,NA18547,0,1240,#66ff92,U,0.8
CHB,NA,NA18550,NA18550,0,1250,#66ff95,M,0.8
CHB,NA,NA18552,NA18552,0,1260,#66ff98,I,0.8
CHB,NA,NA18555,NA18555,0,1270,#66ff9b,z,0.8
CHB,NA,NA18558,NA18558,0,1280,#66ff9e,A,0.8
CHB,NA,NA18561,NA18561,0,1290,#66ffa1,U,0.8
CHB,NA,NA18562,NA18562,0,1300,#66ffa5,k,0.8
CHB,NA,NA18563,NA18563,0,1310,#66ffa8,w,0.8
