# Lines starting with # are ignored

# Population: Internal ID for population. * = all populations
# pop_label: Label that will be used for the population in plots.
# pop_label: Population: * = use population as pop_label.
# pop_label: Individual: * = pop_label of Population.
# Individual: Internal ID for individual. * = all individuals
# indv_label: Label that will be used for the individual in plots.
# indv_label: * = Use individual as indv_label.
# sample: 1=sample (bam). 0=reference (tped or similar). -1=remove from plot.
# sample: *=use value defined for population
# order: Sort order of individuals in in ASD-file. No duplicates allowed.
# Color: Color given as hex-value.
# Color: See http://www.w3schools.com/tags/ref_colorpicker.asp
# Color: * means auto select based on pop_label/indv_label
# pch: R's pch-value. * means auto select
# pch: square brackets around a value means plot circle around the value
# cex: R's cex-value. For population * means auto select
# cex: For individual: Use value for population

# A specified individual/population takes priority over a *
# An empty field means the same as the field above
Population,pop_label,Individual,indv_label,sample,order,Color,pch,cex,Other,columns,are,ignored
*,*,*,*,*,*,*,*,*
POL,,,,0
BOR,,,,
FIJ,,,,
JPT,,,,
CHB,,,,
YRI,,,,
CEU,,,,
NGH,,,,

POL,NA,Pl26,*,*,*,*,*,*
CHB,NA,NA18573,,,,,,
CHB,NA,NA18576,,,,,,
CHB,NA,NA18577,,,,,,
CHB,NA,NA18579,,,,,,
CHB,NA,NA18582,,,,,,
CHB,NA,NA18592,,,,,,
CHB,NA,NA18593,,,,,,
CHB,NA,NA18594,,,,,,
CHB,NA,NA18603,,,,,,
CHB,NA,NA18605,,,,,,
CHB,NA,NA18608,,,,,,
CHB,NA,NA18609,,,,,,
CHB,NA,NA18611,,,,,,
CHB,NA,NA18612,,,,,,
CHB,NA,NA18620,,,,,,
CHB,NA,NA18621,,,,,,
CHB,NA,NA18622,,,,,,
CHB,NA,NA18623,,,,,,
CHB,NA,NA18624,,,,,,
CHB,NA,NA18632,,,,,,
CHB,NA,NA18633,,,,,,
CHB,NA,NA18635,,,,,,
CHB,NA,NA18636,,,,,,
CHB,NA,NA18637,,,,,,
YRI,NA,NA18502,,,,,,
YRI,NA,NA18501,,,,,,
YRI,NA,NA18505,,,,,,
YRI,NA,NA18504,,,,,,
YRI,NA,NA18508,,,,,,
YRI,NA,NA18507,,,,,,
YRI,NA,NA18858,,,,,,
YRI,NA,NA18859,,,,,,
YRI,NA,NA18517,,,,,,
YRI,NA,NA18516,,,,,,
YRI,NA,NA18523,,,,,,
YRI,NA,NA18522,,,,,,
YRI,NA,NA18870,,,,,,
YRI,NA,NA18871,,,,,,
YRI,NA,NA18852,,,,,,
YRI,NA,NA18853,,,,,,
YRI,NA,NA18855,,,,,,
YRI,NA,NA18856,,,,,,
YRI,NA,NA18861,,,,,,
YRI,NA,NA18862,,,,,,
YRI,NA,NA18912,,,,,,
YRI,NA,NA18913,,,,,,
YRI,NA,NA19093,,,,,,
YRI,NA,NA19092,,,,,,
YRI,NA,NA19102,,,,,,
YRI,NA,NA19101,,,,,,
YRI,NA,NA19137,,,,,,
YRI,NA,NA19138,,,,,,
YRI,NA,NA19201,,,,,,
YRI,NA,NA19200,,,,,,
YRI,NA,NA19172,,,,,,
YRI,NA,NA19171,,,,,,
YRI,NA,NA19204,,,,,,
YRI,NA,NA19203,,,,,,
YRI,NA,NA19209,,,,,,
YRI,NA,NA19210,,,,,,
YRI,NA,NA19206,,,,,,
YRI,NA,NA19207,,,,,,
YRI,NA,NA19159,,,,,,
YRI,NA,NA19160,,,,,,
YRI,NA,NA19222,,,,,,
YRI,NA,NA19223,,,,,,
YRI,NA,NA19116,,,,,,
YRI,NA,NA19119,,,,,,
YRI,NA,NA19140,,,,,,
YRI,NA,NA19141,,,,,,
YRI,NA,NA19152,,,,,,
YRI,NA,NA19153,,,,,,
YRI,NA,NA19143,,,,,,
YRI,NA,NA19144,,,,,,
YRI,NA,NA19127,,,,,,
YRI,NA,NA19128,,,,,,
YRI,NA,NA19131,,,,,,
YRI,NA,NA19130,,,,,,
YRI,NA,NA19099,,,,,,
YRI,NA,NA19098,,,,,,
YRI,NA,NA19193,,,,,,
YRI,NA,NA19192,,,,,,
YRI,NA,NA19238,,,,,,
YRI,NA,NA19239,,,,,,
CEU,NA,NA12003,,,,,,
CEU,NA,NA12004,,,,,,
CEU,NA,NA12005,,,,,,
CEU,NA,NA12006,,,,,,
CEU,NA,NA12056,,,,,,
CEU,NA,NA12057,,,,,,
CEU,NA,NA11829,,,,,,
CEU,NA,NA11830,,,,,,
CEU,NA,NA11831,,,,,,
CEU,NA,NA11832,,,,,,
CEU,NA,NA11992,,,,,,
CEU,NA,NA11993,,,,,,
CEU,NA,NA11994,,,,,,
CEU,NA,NA11995,,,,,,
CEU,NA,NA12154,,,,,,
CEU,NA,NA12236,,,,,,
CEU,NA,NA12155,,,,,,
CEU,NA,NA12156,,,,,,
CEU,NA,NA07357,,,,,,
CEU,NA,NA07345,,,,,,
CEU,NA,NA06994,,,,,,
CEU,NA,NA07000,,,,,,
CEU,NA,NA07022,,,,,,
CEU,NA,NA07056,,,,,,
CEU,NA,NA11839,,,,,,
CEU,NA,NA11840,,,,,,
CEU,NA,NA12043,,,,,,
CEU,NA,NA12044,,,,,,
CEU,NA,NA12144,,,,,,
CEU,NA,NA12145,,,,,,
CEU,NA,NA12146,,,,,,
CEU,NA,NA12239,,,,,,
CEU,NA,NA12264,,,,,,
CEU,NA,NA12234,,,,,,
CEU,NA,NA12716,,,,,,
CEU,NA,NA12717,,,,,,
CEU,NA,NA12891,,,,,,
CEU,NA,NA12892,,,,,,
CEU,NA,NA12812,,,,,,
CEU,NA,NA12813,,,,,,
CEU,NA,NA12814,,,,,,
CEU,NA,NA12815,,,,,,
CEU,NA,NA12872,,,,,,
CEU,NA,NA12873,,,,,,
CEU,NA,NA12874,,,,,,
CEU,NA,NA12875,,,,,,
CEU,NA,NA12760,,,,,,
CEU,NA,NA12761,,,,,,
CEU,NA,NA12762,,,,,,
CEU,NA,NA12763,,,,,,
CEU,NA,NA07034,,,,,,
CEU,NA,NA07055,,,,,,
CEU,NA,NA06993,,,,,,
CEU,NA,NA06985,,,,,,
CEU,NA,NA12750,,,,,,
CEU,NA,NA12751,,,,,,
CEU,NA,NA11881,,,,,,
CEU,NA,NA11882,,,,,,
CEU,NA,NA12248,,,,,,
CEU,NA,NA12249,,,,,,
NGH,NA,Me07,,,,,,
NGH,NA,Me08,,,,,,
NGH,NA,Me09,,,,,,
NGH,NA,Me11,,,,,,
NGH,NA,Me10,,,,,,
NGH,NA,Me13,,,,,,
NGH,NA,Me12,,,,,,
NGH,NA,Me15,,,,,,
NGH,NA,Me14,,,,,,
NGH,NA,Me17,,,,,,
NGH,NA,Me16,,,,,,
NGH,NA,Me19,,,,,,
NGH,NA,Me18,,,,,,
NGH,NA,Me5,,,,,,
NGH,NA,Me4,,,,,,
NGH,NA,Me1,,,,,,
NGH,NA,Me3,,,,,,
NGH,NA,Me2,,,,,,
NGH,NA,Me20,,,,,,
NGH,NA,Me21,,,,,,
NGH,NA,Me28,,,,,,
NGH,NA,Me24,,,,,,
NGH,NA,Me25,,,,,,
NGH,NA,Me26,,,,,,
